更新時間,yyyymmdd,基金代碼,國內外基金註記,基金規模(台幣/億),基金目前規模區間,基金成立時間,基金成立幾年,基金公司代碼,計價幣別,基金經理人,區域別,基金投資產業分類1,基金投資產業分類2,基金投資產業分類3,aum基金型態別,商品投資屬性,高收益債註記,保本型基金註記,淨值,sharpe,beta,一個月累積報酬率(%),三個月累積報酬率(%),六個月累積報酬率(%),一年累積報酬率(%),三年累積報酬率(%),五年累積報酬率(%),自今年以來報酬率(%),自成立日起報酬率(%),基金評等,熱賣基金註記,投資型態別,cluster
2017-05-26 10:33:00,20170526,136,0.0,33.94,d.10~100億元台幣,2006-10-04 00:00:00,11.0,P ,TWD,陳姿瑾,TW  ,亞債/新興市場債(美元債),美國高收益債券,美國投資等級債券,F,RR3,0.0,N,13.83,0.23,0.8,0.46,0.71,2.45,3.88,5.64,15.89,0.89,38.33,3.5,0,e.組合型,1
2017-05-26 10:12:00,20170526,137,0.0,12.34,d.10~100億元台幣,2006-10-11 00:00:00,11.0,UF,TWD,高君逸,TW  ,新興亞洲,全球新興市場,新興拉美,F,RR5,0.0,N,10.54,0.33,0.73,2.93,4.36,8.66,13.09,-1.86,14.07,7.77,5.4,3.0,0,e.組合型,1
2017-05-26 10:33:00,20170526,138,0.0,4.03,b.1~5億元台幣,2006-10-04 00:00:00,11.0,P ,TWD,鄭夙希,TW  ,美國股票,歐洲股票,貨幣基金及現金,F,RR4,0.0,N,14.05,0.32,0.7,2.33,2.63,6.6,7.33,4.77,38.83,3.61,40.5,3.5,0,e.組合型,1
2017-05-26 10:27:00,20170526,139,0.0,13.71,d.10~100億元台幣,2006-10-13 00:00:00,11.0,CH,TWD,林經堯,TW  ,資訊科技,金融,原物料,E,RR5,0.0,N,9.88,0.51,0.69,3.46,3.56,10.02,20.05,0.71,13.43,7.27,-1.2,3.5,0,a.股票型,1
2017-05-26 10:06:00,20170526,142,0.0,17.9,d.10~100億元台幣,2006-06-16 00:00:00,11.0,TS,TWD,李文孝,TW  ,特種房地產投資信托,住宅房地產投資信托,其他,E,RR4,0.0,N,19.24,-0.11,0.8,0.94,-1.08,3.89,-4.28,17.89,37.33,-1.99,92.4,4.0,0,a.股票型,1
2017-05-26 10:18:00,20170526,145,0.0,21.03,d.10~100億元台幣,2007-01-18 00:00:00,10.0,CJ,TWD,朱繼元,TW  ,生物科技,製藥,指數股票型基金,E,RR4,0.0,N,15.86,-0.08,0.74,-0.13,-1.12,-0.5,-4.23,13.61,92.94,1.08,58.6,2.5,0,a.股票型,1
2017-05-26 10:28:00,20170526,146,0.0,5.86,c.5~10億元台幣,2007-01-25 00:00:00,10.0,Q ,TWD,張繼文,TW  ,不動產營運及開發商,REITS-購物中心,REITS-多元化,E,RR4,0.0,N,8.49,-0.18,0.67,-0.82,-2.75,-1.28,-5.46,0.59,41.03,-2.75,-15.1,1.5,0,a.股票型,1
2017-05-26 10:30:00,20170526,147,0.0,8.04,c.5~10億元台幣,2007-04-03 00:00:00,10.0,JF,TWD,蓋欣聖,TW  ,金融,消費品,工業,E,RR3,0.0,N,11.64,0.34,0.89,1.31,3.37,7.28,11.07,11.82,63.94,3.28,16.4,4.0,0,a.股票型,1
2017-05-26 10:27:00,20170526,148,0.0,6.56,c.5~10億元台幣,2007-04-10 00:00:00,10.0,CH,TWD,周有融,TW  ,,,,F,RR4,0.0,N,10.89,0.24,0.9,2.25,3.62,6.87,7.08,4.71,31.52,3.81,8.9,3.0,0,e.組合型,1
2017-05-26 10:14:00,20170526,149,0.0,1.26,b.1~5億元台幣,2007-04-10 00:00:00,10.0,AI,TWD,李瑞玉,US  ,房貸證券化商品,金融,能源,B,RR2,0.0,N,11.71,-0.17,0.79,0.41,0.02,0.25,-1.67,2.71,5.24,-0.43,17.12,2.0,0,b.債券型,2
2017-05-26 10:14:00,20170526,150,0.0,1.38,b.1~5億元台幣,2007-04-10 00:00:00,10.0,AI,TWD,李瑞玉,US  ,房貸證券化商品,金融,能源,B,RR2,0.0,N,8.01,-0.17,0.79,0.41,0.02,0.25,-1.67,2.73,5.26,-0.43,17.5,2.0,0,b.債券型,2
2017-05-26 10:27:00,20170526,152,0.0,15.3,d.10~100億元台幣,2007-08-21 00:00:00,10.0,CH,TWD,周有融,TW  ,能源,工業,原物料,E,RR4,0.0,N,7.2,0.08,0.65,1.84,3.0,2.56,2.71,-16.38,9.09,-1.64,-28.0,2.0,0,a.股票型,1
2017-05-26 10:14:00,20170526,153,0.0,4.2,b.1~5億元台幣,2007-10-12 00:00:00,10.0,AI,TWD,馬治雲,TW  ,,資訊科技,,E,RR5,0.0,N,11.82,0.49,0.65,2.43,4.23,11.72,17.61,1.03,36.96,7.65,18.2,3.0,0,a.股票型,1
2017-05-26 10:14:00,20170526,154,0.0,1.64,b.1~5億元台幣,2007-10-12 00:00:00,10.0,AI,TWD,馬治雲,TW  ,,資訊科技,,E,RR5,0.0,N,8.06,0.5,0.64,2.41,4.26,11.62,17.61,1.02,37.17,7.61,19.46,3.0,0,a.股票型,1
2017-05-26 10:28:00,20170526,157,0.0,3.48,b.1~5億元台幣,2007-11-07 00:00:00,10.0,Q ,TWD,黃靜怡,TW  ,人口趨勢,節能效率,氣侯變遷,E,RR4,0.0,N,6.4,0.52,0.9,3.73,4.75,9.03,17.22,13.48,62.44,5.96,-36.0,4.5,0,a.股票型,1
2017-05-26 10:30:00,20170526,158,0.0,14.52,d.10~100億元台幣,2008-01-25 00:00:00,9.0,JF,TWD,蓋欣聖,TW  ,其他,商業銀行,網路軟體及服務,E,RR5,0.0,N,9.29,0.49,0.68,3.11,3.8,10.07,18.49,6.9,29.57,8.78,-7.1,3.5,0,a.股票型,1
2017-05-26 10:21:00,20170526,159,0.0,8.43,c.5~10億元台幣,2007-07-26 00:00:00,10.0,FH,TWD,徐翊達,TW  ,,,,E,RR5,0.0,N,5.72,0.39,0.31,4.19,3.44,5.15,13.94,19.42,43.0,7.12,-42.8,3.5,0,a.股票型,1
2017-05-26 10:30:00,20170526,160,0.0,13.94,d.10~100億元台幣,2008-06-25 00:00:00,9.0,JF,TWD,戴慕浩,TW  ,其他,商業銀行,網路軟體及服務,E,RR5,0.0,N,15.06,0.47,0.97,5.39,10.98,16.56,25.29,21.26,53.2,16.65,50.6,4.5,0,a.股票型,1
2017-05-26 10:14:00,20170526,161,0.0,39.33,d.10~100億元台幣,2008-08-01 00:00:00,9.0,AI,TWD,李育昇,TW  ,金融,能源,通訊,B,RR3,1.0,N,13.36,0.48,0.75,0.88,1.05,3.6,8.14,3.61,22.51,1.13,33.61,3.0,0,b.債券型,2
2017-05-26 10:14:00,20170526,162,0.0,231.92,e.100~500億元台幣,2008-08-01 00:00:00,9.0,AI,TWD,李育昇,TW  ,金融,能源,通訊,B,RR3,1.0,N,7.25,0.48,0.75,0.88,1.05,3.6,8.14,3.61,22.51,1.14,33.45,3.0,0,b.債券型,2
2017-05-26 10:30:00,20170526,163,0.0,7.96,c.5~10億元台幣,2008-09-22 00:00:00,9.0,JF,TWD,戴慕浩,TW  ,其他,網路軟體及服務,半導體業,E,RR5,0.0,N,18.51,0.44,0.5,5.41,8.82,10.51,23.15,19.88,56.47,13.63,85.1,4.5,0,a.股票型,1
2017-05-26 10:10:00,20170526,165,0.0,77.84,d.10~100億元台幣,2008-10-17 00:00:00,9.0,TT,TWD,許家豪,TW  ,高收益債券,新興市場債券,投資級公司債券,F,RR3,0.0,N,15.22,0.22,0.66,0.49,0.65,2.13,3.27,6.5,18.09,0.64,52.17,3.5,0,e.組合型,1
2017-05-26 10:12:00,20170526,167,0.0,41.0,d.10~100億元台幣,1994-04-11 00:00:00,23.0,UF,TWD,葉獻文,TW  ,,,,E,RR4,0.0,N,80.85,0.33,1.47,3.77,4.38,8.25,16.45,9.64,52.35,8.0,775.17,2.5,0,a.股票型,1
2017-05-26 10:12:00,20170526,168,0.0,52.94,d.10~100億元台幣,1995-05-02 00:00:00,22.0,UF,TWD,張淑蕙,TW  ,,,,E,RR4,0.0,N,37.72,0.44,1.25,3.2,3.51,7.1,17.73,8.52,45.75,7.31,553.38,2.5,0,a.股票型,1
2017-05-26 10:12:00,20170526,169,0.0,12.11,d.10~100億元台幣,1996-01-23 00:00:00,21.0,UF,TWD,高君逸,TW  ,資訊科技,金融,工業,E,RR5,0.0,N,19.79,0.47,0.88,4.38,6.28,10.62,19.22,4.16,25.89,10.87,97.9,3.5,0,a.股票型,1
2017-05-26 10:06:00,20170526,170,0.0,8.2,c.5~10億元台幣,2000-03-07 00:00:00,17.0,TS,TWD,沈建宏,TW  ,,,,E,RR5,0.0,N,29.99,0.56,0.87,2.99,4.57,20.06,33.11,23.77,121.66,16.42,199.9,4.5,0,a.股票型,1
2017-05-26 10:01:00,20170526,173,0.0,9.88,c.5~10億元台幣,2009-05-21 00:00:00,8.0,BL,TWD,陳重銓,TW  ,金融,房地產,其他,I,RR5,0.0,N,15.53,0.47,0.62,2.11,0.25,3.89,18.53,16.78,49.25,4.78,55.34,3.5,0,g.指數型,1
2017-05-26 10:15:00,20170526,175,0.0,1.52,b.1~5億元台幣,2009-08-27 00:00:00,8.0,Q1,TWD,章錦正,TW  ,期信基金,現金及貨幣市場,,FT,RR2,0.0,N,9.37,-0.38,0.5,0.32,-5.26,-2.5,-11.1,2.52,2.52,-6.77,-6.3,,0,f.期貨型,1
2017-05-26 10:30:00,20170526,176,0.0,30.63,d.10~100億元台幣,2009-12-01 00:00:00,8.0,JF,TWD,戴慕浩,CN  ,資訊科技,金融,消費品,E,RR5,0.0,N,11.0,0.41,0.61,4.96,7.53,8.8,21.01,19.57,46.28,12.02,10.0,3.5,0,a.股票型,1
2017-05-26 10:01:00,20170526,177,0.0,1.59,b.1~5億元台幣,2009-12-10 00:00:00,8.0,BL,TWD,曾士育,TW  ,能源類,農產品,基本金屬,FT,RR3,0.0,N,4.94,-0.27,-0.61,1.71,-5.46,-5.96,-10.42,-50.87,-48.34,-10.74,-50.65,,0,f.期貨型,2
2017-05-26 10:01:00,20170526,179,0.0,2.03,b.1~5億元台幣,2010-02-03 00:00:00,7.0,BL,TWD,呂彥慧,TW  ,ETF,現金,共同基金,F,RR3,0.0,N,10.47,-0.44,0.65,-0.38,-0.95,-1.87,-4.73,-3.32,3.15,-2.88,4.7,1.0,0,e.組合型,2
2017-05-26 10:01:00,20170526,180,0.0,0.53,a.<1億元台幣,2010-02-03 00:00:00,7.0,BL,TWD,呂彥慧,TW  ,ETF,現金,共同基金,F,RR3,0.0,N,10.42,-0.44,0.66,-0.38,-1.04,-1.88,-4.75,-3.34,3.17,-2.89,4.69,1.0,0,e.組合型,2
2017-05-26 10:30:00,20170526,181,0.0,19.02,d.10~100億元台幣,2010-02-02 00:00:00,7.0,JF,TWD,葉鴻儒,TW  ,,,,E,RR4,0.0,N,18.97,0.27,1.62,4.12,3.44,6.22,15.11,19.08,91.81,5.86,89.7,3.0,0,a.股票型,1
2017-05-26 10:14:00,20170526,182,0.0,15.79,d.10~100億元台幣,2010-05-17 00:00:00,7.0,AI,TWD,許家禎,TW  ,政府債券,金融業,原物料,B,RR4,1.0,N,12.28,0.25,0.94,0.49,1.49,4.56,5.25,0.5,11.62,2.43,22.83,2.5,0,b.債券型,1
2017-05-26 10:14:00,20170526,183,0.0,40.67,d.10~100億元台幣,2010-05-17 00:00:00,7.0,AI,TWD,許家禎,TW  ,政府債券,金融業,原物料,B,RR4,1.0,N,7.85,0.25,0.94,0.49,1.49,4.56,5.25,0.51,11.63,2.43,22.87,2.5,0,b.債券型,1
2017-05-26 10:31:00,20170526,185,0.0,15.06,d.10~100億元台幣,2010-07-20 00:00:00,7.0,JF,TWD,蓋欣聖,TW  ,金融,資訊科技,消費品,E,RR5,0.0,N,10.32,0.55,0.62,1.67,2.99,9.79,20.7,2.18,21.27,4.35,3.2,4.0,0,a.股票型,1
2017-05-26 10:01:00,20170526,186,0.0,4.83,b.1~5億元台幣,2010-09-24 00:00:00,7.0,BL,TWD,劉偉正,BR  ,金融,日常消費品,其他,I,RR5,0.0,N,5.37,0.25,0.94,-6.19,-11.31,-0.63,23.98,-21.45,-19.34,-3.37,-46.34,3.0,0,g.指數型,1
2017-05-26 10:01:00,20170526,187,0.0,2.0,b.1~5億元台幣,2010-09-24 00:00:00,7.0,BL,TWD,劉偉正,IN  ,金融,其他,資訊技術,I,RR5,0.0,N,9.07,0.19,0.78,-0.73,3.3,14.04,10.0,4.17,44.87,9.07,-9.34,3.0,0,g.指數型,1
2017-05-26 10:01:00,20170526,188,0.0,2.73,b.1~5億元台幣,2010-09-24 00:00:00,7.0,BL,TWD,劉偉正,ID  ,金融,電信業務,非日常生活消費品,I,RR5,0.0,N,9.32,0.24,1.38,1.88,7.43,11.44,14.65,-1.02,4.98,4.76,-6.85,3.0,0,g.指數型,1
2017-05-26 10:14:00,20170526,190,0.0,1.68,b.1~5億元台幣,2010-10-19 00:00:00,7.0,AI,TWD,馬治雲,TW  ,工業,能源,原物料,E,RR5,0.0,N,6.27,0.27,0.77,-0.48,-0.79,8.67,13.38,-19.72,-10.3,2.79,-37.3,2.0,0,a.股票型,1
2017-05-26 10:01:00,20170526,191,0.0,3.23,b.1~5億元台幣,2010-11-04 00:00:00,7.0,BL,TWD,潘昶安,TW  ,存款,其他,債券,FT,RR2,0.0,N,7.48,-0.04,-0.13,-2.22,-1.32,3.46,-2.48,-12.0,-30.03,7.47,-25.2,,0,f.期貨型,1
2017-05-26 10:29:00,20170526,192,0.0,11.11,d.10~100億元台幣,2010-11-16 00:00:00,7.0,CY,TWD,李運婷,TW  ,債券,現金,,F,RR3,0.0,N,11.56,0.09,0.41,0.43,0.35,0.7,1.49,-0.69,13.56,-0.6,15.6,2.0,0,e.組合型,1
2017-05-26 10:31:00,20170526,194,0.0,13.77,d.10~100億元台幣,2010-12-20 00:00:00,7.0,JF,TWD,郭世宗,TW  ,境外_債券型,境內_投資國外債券型,流動性資金,F,RR2,0.0,N,11.17,0.03,0.3,0.26,0.04,0.42,0.84,2.21,10.47,-0.42,11.66,3.0,0,e.組合型,1
2017-05-26 10:29:00,20170526,198,0.0,15.6,d.10~100億元台幣,2011-03-22 00:00:00,6.0,CY,TWD,高浩偉,TW  ,,,,E,RR5,0.0,N,10.53,0.1,0.75,1.84,6.47,7.34,4.46,-2.5,17.65,5.62,5.3,2.0,0,a.股票型,1
2017-05-26 11:14:00,20170526,1Y7,1.0,10168.82464,h.1~5兆元台幣,2015-07-16 00:00:00,2.0,IM,USD,羅克穎(Clyde Rossouw)/韓學勤(Blake Hutchins)/潘德龍(Abrie Pretorius),LU  ,必需性消費品,健康護理,資訊科技,E,RR4,0.0,N,22.43,0.22,1.16,2.89,5.21,14.26,8.62,,,12.09,12.15,,0,a.股票型,3
2017-05-26 10:31:00,20170526,200,0.0,11.76,d.10~100億元台幣,2011-04-27 00:00:00,6.0,JF,TWD,郭世宗,TW  ,政府公債,公司債,流動性資金,B,RR3,1.0,N,10.95,0.06,0.97,0.21,1.37,3.76,1.86,-0.15,7.05,3.18,9.49,2.0,0,b.債券型,2
2017-05-26 10:31:00,20170526,201,0.0,4.63,b.1~5億元台幣,2011-04-27 00:00:00,6.0,JF,TWD,郭世宗,TW  ,政府公債,公司債,流動性資金,B,RR3,1.0,N,8.24,0.06,0.97,0.21,1.36,3.76,1.86,-0.15,7.05,3.18,9.5,2.0,0,b.債券型,2
2017-05-26 10:29:00,20170526,202,0.0,26.21,d.10~100億元台幣,2011-06-08 00:00:00,6.0,CY,TWD,林光佑,IN  ,金融,原物料,耐久財消費,E,RR5,0.0,N,13.88,0.29,1.04,-3.41,3.66,16.93,20.49,44.58,86.31,14.43,38.8,4.0,0,a.股票型,1
2017-05-26 10:01:00,20170526,203,0.0,4.78,b.1~5億元台幣,2011-09-15 00:00:00,6.0,BL,TWD,張哲銘,TW  ,金融,資訊技術,其他,E,RR5,0.0,N,11.35,0.31,0.6,2.71,3.84,9.34,13.05,-7.35,13.61,7.79,13.5,3.0,0,a.股票型,1
2017-05-26 10:31:00,20170526,204,0.0,21.31,d.10~100億元台幣,2011-09-29 00:00:00,6.0,JF,TWD,郭世宗,TW  ,公司債,政府公債,金融債,B,RR4,1.0,N,12.6,-0.03,0.39,0.06,0.17,0.52,0.33,5.93,20.67,0.13,26.04,2.5,0,b.債券型,1
2017-05-26 10:31:00,20170526,205,0.0,56.31,d.10~100億元台幣,2011-09-29 00:00:00,6.0,JF,TWD,郭世宗,TW  ,公司債,政府公債,金融債,B,RR4,1.0,N,9.29,-0.03,0.39,0.13,0.34,0.63,0.34,6.45,21.27,0.25,26.67,2.5,0,b.債券型,1
2017-05-26 10:11:00,20170526,207,0.0,3.04,b.1~5億元台幣,2011-11-09 00:00:00,6.0,HZ,TWD,陳培倫,CN  ,金融業,地產開發,政府公債,B,RR2,0.0,N,10.24,-0.94,0.09,-0.12,-1.07,-3.78,-7.53,-1.75,3.1,-4.2,2.38,1.0,0,b.債券型,2
2017-05-26 10:11:00,20170526,208,0.0,0.27,a.<1億元台幣,2011-11-09 00:00:00,6.0,HZ,TWD,陳培倫,CN  ,金融業,地產開發,政府公債,B,RR2,0.0,N,8.82,-0.94,0.09,-0.12,-1.07,-3.78,-7.53,-1.6,3.17,-4.2,2.46,1.0,0,b.債券型,2
2017-05-26 10:11:00,20170526,209,0.0,2.96,b.1~5億元台幣,2011-07-21 00:00:00,6.0,HY,USD,陳培倫,CN  ,地產開發,工業,循環消費,B,RR4,1.0,N,11.97,0.25,0.5,0.51,1.22,3.79,3.66,7.36,17.45,4.29,19.73,2.5,0,b.債券型,1
2017-05-26 10:27:00,20170526,210,0.0,3.84,b.1~5億元台幣,2011-12-30 00:00:00,6.0,CH,TWD,游陳達,CN  ,金融-不動產,金融,流動資金,B,RR4,1.0,N,11.37,-0.24,0.47,0.23,0.34,1.69,-2.31,3.27,14.53,2.21,13.72,1.5,0,b.債券型,1
2017-05-26 10:29:00,20170526,211,0.0,5.37,c.5~10億元台幣,2012-03-13 00:00:00,5.0,CY,TWD,李忠泰,TW  ,,,,B,RR2,0.0,N,9.76,-0.44,0.61,0.42,0.23,-0.89,-4.66,-0.89,-1.75,-1.72,-2.44,2.0,0,b.債券型,2
2017-05-26 10:29:00,20170526,212,0.0,0.82,a.<1億元台幣,2012-03-13 00:00:00,5.0,CY,TWD,李忠泰,TW  ,,,,B,RR2,0.0,N,7.89,-0.44,0.61,0.42,0.23,-0.89,-4.65,-0.89,-1.85,-1.72,-2.44,2.0,0,b.債券型,2
2017-05-26 10:08:00,20170526,213,0.0,12.43,d.10~100億元台幣,2012-03-15 00:00:00,5.0,DA,TWD,盧正穎,CN  ,金融保險,非股票部位,其他<2%>類股,E,RR5,0.0,N,16.69,0.17,0.56,2.58,3.34,0.91,6.17,20.25,73.49,3.6,66.9,2.0,0,a.股票型,1
2017-05-26 10:27:00,20170526,214,0.0,3.3,b.1~5億元台幣,2010-08-11 00:00:00,7.0,CH,TWD,游陳達,TW  ,,,,B,RR3,0.0,N,9.01,0.04,1.17,-0.45,-0.45,1.6,1.2,-11.14,-9.63,0.51,-9.94,2.0,0,b.債券型,2
2017-05-26 10:27:00,20170526,215,0.0,18.21,d.10~100億元台幣,2010-08-11 00:00:00,7.0,CH,TWD,游陳達,TW  ,,,,B,RR3,0.0,N,5.79,0.07,1.74,-0.62,-0.49,2.86,2.47,-13.08,-10.94,1.1,-11.37,2.0,0,b.債券型,2
2017-05-26 10:01:00,20170526,216,0.0,9.46,c.5~10億元台幣,2012-04-25 00:00:00,5.0,BL,TWD,張帆,CN  ,非日常生活消費品,現金,公司債,W,RR5,0.0,N,13.09,-0.05,0.23,0.38,-1.28,-3.68,-0.46,35.65,30.77,-1.28,30.9,2.5,0,d.平衡型,1
2017-05-26 10:11:00,20170526,217,0.0,1.84,b.1~5億元台幣,2011-07-21 00:00:00,6.0,HY,USD,陳培倫,CN  ,地產開發,工業,循環消費,B,RR4,1.0,N,9.81,0.25,0.5,0.51,1.22,3.79,3.66,7.36,17.45,4.29,19.73,2.5,0,b.債券型,1
2017-05-26 10:08:00,20170526,218,0.0,2.01,b.1~5億元台幣,2012-07-20 00:00:00,5.0,DA,TWD,李明翰,CN  ,不動產,循環性消費,現金及其他,B,RR4,1.0,N,10.84,-0.82,0.14,0.16,-0.51,-2.55,-6.3,2.27,,-3.28,8.44,1.0,0,b.債券型,1
2017-05-26 10:10:00,20170526,219,0.0,1.2,b.1~5億元台幣,2012-04-27 00:00:00,5.0,IT,TWD,林邦傑,TW  ,,,,F,RR3,0.0,N,10.8,0.12,0.55,0.28,0.28,1.98,1.89,2.85,13.58,0.47,12.56,3.0,0,e.組合型,2
2017-05-26 10:21:00,20170526,220,0.0,4.12,b.1~5億元台幣,1999-01-20 00:00:00,18.0,FH,TWD,蔡致行,TW  ,,,,E,RR5,0.0,N,19.75,0.42,0.89,4.94,2.6,10.27,20.8,2.86,31.06,11.83,97.5,2.0,0,a.股票型,1
2017-05-26 10:14:00,20170526,221,0.0,11.03,d.10~100億元台幣,2012-05-02 00:00:00,5.0,AI,TWD,許家禎,TW  ,金融業,能源,原物料,B,RR3,1.0,N,11.65,0.13,0.46,0.34,0.67,2.19,2.29,7.23,17.51,0.9,16.46,3.0,0,b.債券型,2
2017-05-26 10:14:00,20170526,222,0.0,7.95,c.5~10億元台幣,2012-05-02 00:00:00,5.0,AI,TWD,許家禎,TW  ,金融業,能源,原物料,B,RR3,1.0,N,9.09,0.13,0.46,0.34,0.67,2.19,2.29,7.23,17.51,0.9,16.47,3.0,0,b.債券型,2
2017-05-26 10:11:00,20170526,223,0.0,0.35,a.<1億元台幣,2012-10-11 00:00:00,5.0,HY,USD,陳培倫,TW  ,金融業,能源,民生消費,B,RR2,0.0,N,10.63,-0.02,0.57,0.42,0.92,2.21,0.34,2.53,,2.87,6.25,2.5,0,b.債券型,2
2017-05-26 10:24:00,20170526,224,0.0,4.31,b.1~5億元台幣,2012-12-11 00:00:00,5.0,H0,ZAR,汪誠一,ZA  ,政府,金融,流動資產,B,RR2,0.0,N,12.2,0.46,0.61,1.16,2.61,6.64,14.13,18.33,,4.81,22.0,4.5,0,b.債券型,2
2017-05-26 10:24:00,20170526,225,0.0,13.44,d.10~100億元台幣,2012-12-11 00:00:00,5.0,H0,ZAR,汪誠一,ZA  ,政府,金融,流動資產,B,RR2,0.0,N,8.46,0.46,0.63,1.26,2.61,6.67,14.13,18.44,,4.83,22.08,4.5,0,b.債券型,1
2017-05-26 10:24:00,20170526,226,0.0,6.84,c.5~10億元台幣,2012-12-11 00:00:00,5.0,H0,ZAR,吳宜潔,ZA  ,政府,循環性消費,金融,B,RR2,0.0,N,12.61,1.56,0.13,0.72,2.19,4.56,9.08,20.21,,3.79,26.1,5.0,0,b.債券型,2
2017-05-26 10:24:00,20170526,227,0.0,3.9,b.1~5億元台幣,2012-12-11 00:00:00,5.0,H0,ZAR,吳宜潔,ZA  ,政府,循環性消費,金融,B,RR2,0.0,N,9.25,1.49,0.14,0.77,2.23,4.51,9.08,20.24,,3.82,26.11,5.0,0,b.債券型,2
2017-05-26 10:24:00,20170526,228,0.0,18.18,d.10~100億元台幣,2012-12-11 00:00:00,5.0,H0,ZAR,吳易欣,ZA  ,,,,O,RR2,0.0,Y,12.39,3.54,0.07,0.57,1.64,3.86,8.21,23.04,,2.99,28.79,4.0,0,h.其他型,1
2017-05-26 10:09:00,20170526,229,0.0,2.11,b.1~5億元台幣,2013-01-23 00:00:00,4.0,DA,TWD,曹清宗,TW  ,銀行,其他,石油天然氣,B,RR3,1.0,N,10.56,0.2,0.66,0.02,0.11,1.9,2.89,4.51,,1.01,5.64,3.0,0,b.債券型,2
2017-05-26 10:09:00,20170526,230,0.0,2.94,b.1~5億元台幣,2013-01-23 00:00:00,4.0,DA,TWD,曹清宗,TW  ,銀行,其他,石油天然氣,B,RR3,1.0,N,8.39,0.2,0.66,0.02,0.1,1.9,2.88,4.49,,1.01,5.61,3.0,0,b.債券型,2
